will,4977
thy,4032
thee,3173
lord,3054
king,2853
good,2810
sir,2741
well,2146
love,2042
hath,1938
man,1830
tis,1405
speak,1163
mine,1160
th',1147
duke,1071
time,1048
exeunt,1035
heart,978
doth,939
